vaalipiiri;sukunimi;etunimi;puolue;ikä;sukupuoli;Toimin tällä hetkellä kansanedustajana.;kotikunta;Äidinkieli;Kotisivun osoite:;Facebook-profiilin osoite:;Twitter-profiilin osoite:;Työnantaja;Ammattiasema;Koulutus;Uskonnollinen yhteisö;Poliittisen puolueen jäsen;Poliittinen kokemus;Käytän vaaleihin rahaa;Ulkopuolisen rahoituksen osuus;Vuositulot;127|Suomessa on liian helppo elää sosiaaliturvan varassa;128|Kaupan ja muiden liikkeiden aukioloajat on vapautettava.;129|Suomessa on siirryttävä perustuloon joka korvaisi nykyisen sosiaaliturvan vähimmäistason.;130|Työntekijälle on turvattava lailla minimityöaika.;131|Ansiosidonnaisen työttömyysturvan kestoa pitää lyhentää.;132|Euron ulkopuolella Suomi pärjäisi paremmin.;134|Valtion ja kuntien taloutta on tasapainotettava ensisijaisesti leikkaamalla menoja.;135|Lapsilisiä on korotettava ja laitettava verolle.;136|Suomella ei ole varaa nykyisen laajuisiin sosiaali- ja terveyspalveluihin.;137|Nato-jäsenyys vahvistaisi Suomen turvallisuuspoliittista asemaa.;138|Suomeen tarvitaan enemmän poliiseja.;139|Maahanmuuttoa Suomeen on rajoitettava terrorismin uhan vuoksi.;140|Venäjän etupiiripolitiikka on uhka Suomelle.;141|Verkkovalvonnassa valtion turvallisuus on tärkeämpää kuin kansalaisten yksityisyyden suoja.;142|Suomen on osallistuttava Isisin vastaiseen taisteluun kouluttamalla Irakin hallituksen joukkoja.;143|Parantumattomasti sairaalla on oltava oikeus avustettuun kuolemaan.;144|Terveys- ja sosiaalipalvelut on tuotettava ensijaisesti julkisina palveluina.;145|Viranomaisten pitää puuttua lapsiperheiden ongelmiin nykyistä herkemmin.;146|Vanhuksen ja hänen omaistensa vastuuta hoitokustannuksista on lisättävä.;148|Ilmastonmuutoksen hillitseminen pitää asettaa teollisuuden kilpailukyvyn edelle.;150|Suomen pitää ottaa suurempi vastuu EU:n alueelle tulevista turvapaikanhakijoista.;151|On aika luopua ajatuksesta, että koko Suomi on pidettävä asuttuna.;201|Suomen Nato-jäsenyydestä on järjestettävä kansanäänestys.;244|Hyväksytään periaatepäätös uuden ydinvoimalaitosyksikön rakentamisesta.;245|Tuloveroa alennetaan tasaisesti kaikissa tuloluokissa talouden elvyttämiseksi.;246|Edellisen eduskunnan hyväksymä lainmuutos samaa sukupuolta olevien avioliiton sallimisesta peruutetaan.;247|Mietojen viinien ja vahvojen oluiden myynti ruokakaupassa sallitaan.;248|Ruotsin kielen opiskelu muutetaan vapaaehtoiseksi.
08 Kaakkois-Suomen vaalipiiri;Aalto;Airi;Perussuomalaiset;57;F;0;Imatra;suomi ;http://www.airiaalto.fi;http://www.facebook.com/airi.aalto73;;julkinen ;korkeakoulututkintoa vaativa tehtävä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ;10 000-20 000 euroa;;30 000-50 000 euroa;jokseenkin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;Kyllä;Kyllä;Ei;Kyllä;Ei;Kyllä
12 Oulun vaalipiiri;Aalto;Esa;Vihreä liitto;32;M;0;Oulu;suomi ;http://henkilot.vihreat.fi/esa.aalto/;http://www.facebook.com/Esa.eduskuntaan;;ei työelämässä;asiantuntijatehtävä ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ;alle 1 000 euroa;0Â %;20 000-30 000 euroa;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;Ei;Ei;Ei;Ei;Ei;Kyllä
07 Pirkanmaan vaalipiiri;Aalto;Harri;Vasemmistoliitto;57;M;0;Pirkkala;;http://ehdokas.vasemmisto.fi/harriaalto/;https://www.facebook.com/harri.aalto.90;;julkinen ;työntekijä ;ammattitutkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;kunnan- tai kaupunginvaltuusto ;alle 1 000 euroa;1-20 %;20 000-30 000 euroa;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;Kyllä;Ei;Ei;Ei;Kyllä;Kyllä
12 Oulun vaalipiiri;Aalto;Matti;Suomen Kommunistinen Puolue;60;M;0;Oulu;suomi ;;https://www.facebook.com/matti.aalto.39;;yksityinen ;työntekijä ;;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä ;alle 1 000 euroa;1-20 %;20 000-30 000 euroa;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Ei;Ei;Kyllä
13 Lapin vaalipiiri;Aalto;Pirkka;Suomen Kristillisdemokraatit (KD);45;M;0;Kemijärvi;suomi ;http://www.pirkkaaalto.fi/;https://www.facebook.com/pages/Pirkka-Aalto/1468858586678148?ref=hl;;julkinen ;korkeakoulututkintoa vaativa tehtävä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ;5 000-10 000 euroa;51-80 %;30 000-50 000 euroa;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;Kyllä;Ei;Kyllä;Kyllä;Ei;Kyllä
11 Keski-Suomen vaalipiiri;Aalto;Touko;Vihreä liitto;30;M;0;Jyväskylä;;http://www.toukoaalto.fi;http://www.facebook.com/toukoaalto;http://www.twitter.com/toukoaalto;julkinen ;asiantuntijatehtävä ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ;10 000-20 000 euroa;51-80 %;20 000-30 000 euroa;täysin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;Kyllä;Ei;Kyllä;Ei;Kyllä;Kyllä
08 Kaakkois-Suomen vaalipiiri;Aalto-Partanen;Annika;Vihreä liitto;36;F;0;Kotka;suomi ;http://www.aalto-partanen.com;http://www.facebook.com/Annika.AaltoPartanen;http://twitter.com/AaltoPartanen;julkinen ;asiantuntijatehtävä ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ;1 000-5 000 euroa;1-20 %;30 000-50 000 euroa;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;Ei;Ei;Ei;Ei;Kyllä;Ei
12 Oulun vaalipiiri;Aaltonen;Henri;Piraattipuolue;37;M;0;Siikajoki;suomi ;;http://www.facebook.com/henri.leppimaki;;yksityinen ;maanviljelijä ;ammattitutkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;ei mitään näistä;1 000-5 000 euroa;0Â %;;jokseenkin eri mieltä;täysin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;ohita kysymys;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;ohita kysymys;täysin eri mieltä;täysin eri mieltä;täysin samaa mieltä;jokseenkin eri mieltä;ohita kysymys;jokseenkin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;Kyllä;Ei;Kyllä;Ei;Kyllä;Kyllä
07 Pirkanmaan vaalipiiri;Aaltonen;Mikko;Vasemmistoliitto;39;M;0;Tampere;suomi ;http://www.mikkoaaltonen.fi;https://fi-fi.facebook.com/pages/Mikko-Aaltonen-Vas/163357823700264;https://twitter.com/mikko_aaltonen;julkinen ;johtava asema ;korkeakoulututkinto ;evankelis-luterilainen kirkko ;kyllä ;kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ;5 000-10 000 euroa;1-20 %;50 000-70 000 euroa;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;Kyllä;Ei;Ei;Ei;Kyllä;Ei
10 Vaasan vaalipiiri;Aarnos;Eila;Vasemmistoliitto;66;F;0;Kokkola;suomi ;http://www.eilaaarnos.fi;https://www.facebook.com/eila.aarnos;;ei työelämässä;korkeakoulututkintoa vaativa tehtävä ;korkeakoulututkinto ;ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön;kyllä ;toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ;1 000-5 000 euroa;51-80 %;30 000-50 000 euroa;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;täysin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin eri mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;jokseenkin eri mieltä;ohita kysymys;jokseenkin eri mieltä;jokseenkin samaa mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;jokseenkin eri mieltä;täysin samaa mieltä;jokseenkin samaa mieltä;täysin eri mieltä;Kyllä;Ei;Kyllä;Ei;Kyllä;Kyllä
